,date,rank,song,artist,last-week,peak-rank,max-weeks-on-board
4441,1984-04-07,100,Club Michelle,Eddie Money,78.0,66,7.0
4442,2019-08-17,85,Club Paradise,Drake,,85,1.0
4443,2004-01-17,74,Clubbin,Marques Houston Featuring Joe Budden & Pied Piper,67.0,39,20.0
4444,2021-06-26,79,Clueless,Polo G Featuring Pop Smoke & Fivio Foreign,,79,1.0
4445,2008-04-12,47,Clumsy,Fergie,34.0,5,25.0
4446,1971-10-09,99,Co-Co,The Sweet,99.0,99,2.0
4447,2015-04-18,79,CoCo,O.T. Genasis,71.0,20,20.0
4448,1970-12-26,83,Coal Miner's Daughter,Loretta Lynn,84.0,83,4.0
4449,2023-11-19,63,Cobra,Megan Thee Stallion,32,32,2.0
4450,2003-03-01,96,Cochise,Audioslave,95.0,69,15.0
4451,1995-03-18,99,Cocktales,Too $hort,93.0,69,9.0
4452,2023-04-02,93,Coco Chanel,Eladio Carrion & Bad Bunny,87,87,2.0
4453,1997-12-13,61,Coco Jamboo,Mr. President,59.0,21,20.0
4454,1978-03-04,99,Cocomotion,El Coco,83.0,44,15.0
4455,1972-09-09,32,Coconut,Nilsson,17.0,8,14.0
4456,2008-06-28,94,Coconut Juice,Tyga Featuring Travis McCoy,,94,1.0
4457,2018-03-10,95,Codeine Dreaming,Kodak Black Featuring Lil Wayne,89.0,52,14.0
4458,2015-07-18,89,Coffee,Miguel,,78,3.0
4459,2018-08-18,68,Coffee Bean,Travis Scott,,68,1.0
4460,2007-09-15,78,Coffee Shop,Yung Joc Featuring Gorilla Zoe,,78,1.0
4461,2005-01-08,81,Cold,Crossfade,81.0,81,23.0
4462,2017-07-15,91,Cold,Maroon 5 Featuring Future,71.0,16,20.0
4463,1977-12-10,97,Cold As Ice,Foreigner,61.0,6,21.0
4464,2021-12-19,72,Cold As You,Luke Combs,57,32,20.0
4465,2021-11-14,88,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,66,26,19.0
4466,1983-10-15,93,Cold Blooded,Rick James,76.0,40,12.0
4467,1964-01-11,98,Cold Cold Winter,The Pixies Three,79.0,79,5.0
4468,2000-08-26,91,Cold Day In July,Dixie Chicks,84.0,65,10.0
4469,2022-02-27,97,Cold December,Rod Wave,90,38,6.0
4470,1968-02-24,67,Cold Feet,Albert King,67.0,67,4.0
4471,2004-08-14,92,Cold Hard Bitch,Jet,92.0,55,20.0
4472,2022-09-04,41,Cold Heart (PNAU Remix),Elton John & Dua Lipa,36,7,52.0
4473,1989-11-11,99,Cold Hearted,Paula Abdul,66.0,1,21.0
4474,1981-02-14,76,Cold Love,Donna Summer,51.0,33,12.0
4475,2014-09-27,98,Cold One,Eric Church,89.0,88,6.0
4476,1997-04-12,47,Cold Rock A Party,MC Lyte,41.0,11,20.0
4477,1992-03-07,100,Cold Shower,Erin Cruise,99.0,90,7.0
4478,1967-09-30,34,Cold Sweat - Part 1,James Brown And The Famous Flames,28.0,7,12.0
4479,1970-01-31,46,Cold Turkey,Plastic Ono Band,32.0,30,12.0
4480,2017-02-11,48,Cold Water,Major Lazer Featuring Justin Bieber & MO,42.0,2,27.0
4481,2010-07-10,71,Cold Wind Blows,Eminem,,71,1.0
4482,1996-01-13,100,Cold World,Genius/GZA Featuring Inspektah Deck,100.0,97,3.0
4483,1962-11-17,96,"Cold, Cold Heart",Dinah Washington,,96,1.0
4484,2011-06-18,77,Colder Weather,Zac Brown Band,76.0,29,20.0
4485,1970-04-25,91,"Cole, Cooke & Redding",Wilson Pickett,92.0,91,4.0
4486,2014-03-15,94,Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,,92,8.0
4487,2005-09-17,49,Collide,Howie Day,48.0,20,32.0
4488,1969-08-16,28,Color Him Father,The Winstons,15.0,7,13.0
4489,1967-02-18,50,Color My World,Petula Clark,28.0,16,9.0
4490,1972-10-28,77,Colorado,Danny Holien,66.0,66,8.0
4491,1988-07-23,97,Colors,Ice-T,85.0,70,7.0
4492,1995-11-25,50,"Colors Of The Wind (From ""Pocahontas"")",Vanessa Williams,46.0,4,23.0
4493,1997-03-22,100,Colour Of Love,Amber,96.0,74,10.0
4494,1965-09-25,86,Colours,Donovan,61.0,61,7.0
4495,2013-09-21,46,Come & Get It,Selena Gomez,34.0,6,22.0
4496,2020-12-05,60,Come & Go,Juice WRLD x Marshmello,47.0,2,20.0
4497,1992-10-10,37,Come & Talk To Me,Jodeci,37.0,11,28.0
4498,1964-12-19,42,Come A Little Bit Closer,Jay & The Americans,22.0,3,15.0
4499,2006-02-04,69,Come A Little Closer,Dierks Bentley,61.0,31,20.0
4500,1991-06-22,91,Come Again,Damn Yankees,69.0,50,10.0
4501,1961-04-17,83,Come Along,Maurice Williams & The Zodiacs,87.0,83,2.0
4502,1975-07-26,83,Come An' Get Yourself Some,Leon Haywood,83.0,83,3.0
4503,1970-05-16,29,Come And Get It,Badfinger,18.0,7,15.0
4504,1966-06-11,83,Come And Get Me,Jackie DeShannon,83.0,83,3.0
4505,1963-07-20,58,Come And Get These Memories,Martha & The Vandellas,42.0,29,16.0
4506,1999-01-30,98,Come And Get With Me,Keith Sweat Featuring Snoop Dogg,98.0,12,15.0
4507,1995-10-21,69,Come And Get Your Love,Real McCoy,63.0,19,20.0
4508,1974-06-15,43,Come And Get Your Love,Redbone,34.0,5,23.0
4509,1975-11-22,68,Come And Get Your Love,Roger Daltrey,70.0,68,8.0
4510,2016-12-31,63,Come And See Me,PARTYNEXTDOOR Featuring Drake,56.0,55,24.0
4511,1965-04-24,31,Come And Stay With Me,Marianne Faithfull,26.0,26,9.0
4512,2020-02-29,86,Come Around Me,Justin Bieber,,86,1.0
4513,1992-07-18,94,Come As You Are,Nirvana,93.0,32,18.0
4514,1987-06-06,98,Come As You Are,Peter Wolf,93.0,15,15.0
4515,2012-04-07,83,Come Away To The Water,Maroon 5 Featuring Rozzi Crane,,83,1.0
4516,1994-01-22,45,Come Baby Come,K7,27.0,18,21.0
4517,1960-10-10,64,Come Back,Jimmy Clanton,63.0,63,8.0
4518,1963-11-16,65,Come Back,Johnny Mathis,61.0,61,6.0
4519,1995-05-13,100,Come Back,Londonbeat,94.0,62,5.0
4520,1966-12-10,75,Come Back,The Five Stairsteps,69.0,61,6.0
4521,1980-04-19,95,Come Back,The J. Geils Band,54.0,32,12.0
4522,1984-05-12,91,Come Back And Stay,Paul Young,72.0,22,15.0
4523,2022-05-01,94,Come Back As A Country Boy,Blake Shelton,82,81,13.0
4524,1965-04-24,92,Come Back Baby,Roddie Joy,93.0,86,5.0
4525,1971-08-28,73,Come Back Home,Bobby Goldsboro,69.0,69,6.0
4526,1962-04-28,55,Come Back Silly Girl,The Lettermen,40.0,17,11.0
4527,2010-12-11,85,Come Back Song,Darius Rucker,71.0,37,20.0
4528,2018-09-22,91,Come Back To Earth,Mac Miller,,91,1.0
4529,2009-10-03,97,Come Back To Me,David Cook,97.0,63,19.0
4530,1990-10-20,90,Come Back To Me,Janet Jackson,76.0,2,17.0
4531,2007-02-03,92,Come Back To Me,Vanessa Hudgens,88.0,55,19.0
4532,1967-11-04,34,Come Back When You Grow Up,Bobby Vee And The Strangers,21.0,3,16.0
4533,2004-05-22,98,Come Clean,Hilary Duff,87.0,35,13.0
4534,1994-02-19,100,Come Clean,Jeru The Damaja,93.0,88,4.0
4535,2003-03-29,96,Come Close To Me,Common Featuring Mary J. Blige,83.0,65,15.0
4536,1958-09-29,71,Come Closer To Me (Acercate Mas),Nat King Cole,53.0,41,9.0
4537,1964-01-18,83,Come Dance With Me,Jay & The Americans,80.0,76,8.0
4538,1983-08-27,76,Come Dancing,The Kinks,47.0,6,17.0
4539,2016-02-06,97,Come Get Her,Rae Sremmurd,96.0,56,19.0
4540,2014-09-13,100,Come Get It Bae,Pharrell Williams,93.0,23,15.0
4541,1974-01-26,93,Come Get To This,Marvin Gaye,65.0,21,13.0
4542,1983-04-02,96,Come Give Your Love To Me,Janet Jackson,88.0,58,9.0
4543,1963-07-20,54,Come Go With Me,Dion,48.0,48,6.0
4544,1987-05-30,97,Come Go With Me,Expose,81.0,5,19.0
4545,1978-03-04,93,Come Go With Me,Pockets,96.0,84,9.0
4546,1982-02-27,97,Come Go With Me,The Beach Boys,94.0,18,15.0
4547,2011-11-26,82,Come Home,Faith Hill,,82,1.0
4548,2009-08-01,80,Come Home,OneRepublic With Sara Bareilles,,80,1.0
4549,1965-04-03,37,Come Home,The Dave Clark Five,18.0,14,9.0
4550,2005-01-22,94,Come Home Soon,SHeDAISY,87.0,75,7.0
4551,1989-08-19,92,Come Home With Me Baby,Dead Or Alive,83.0,69,8.0
4552,1977-07-23,99,Come In From The Rain,Captain & Tennille,99.0,61,7.0
4553,1993-05-29,98,Come In Out Of The Rain,Wendy Moten,79.0,55,15.0
4554,1958-08-11,87,Come In Stranger,Johnny Cash And The Tennessee Two,,87,1.0
4555,2009-11-14,30,Come In With The Rain,Taylor Swift,,30,1.0
4556,1994-01-15,62,Come Inside,Intro,58.0,33,20.0
4557,1960-01-25,63,Come Into My Heart,Lloyd Price and His Orchestra,39.0,20,14.0
4558,1970-03-28,89,Come Into My Life,Jimmy Cliff,90.0,89,3.0
4559,2003-02-01,92,Come Into My World,Kylie Minogue,92.0,91,8.0
4560,2014-12-27,93,Come Join The Murder,The White Buffalo & The Forest Rangers,,93,1.0
4561,1973-12-22,91,Come Live With Me,Ray Charles,82.0,82,6.0
4562,1973-06-09,89,Come Live With Me,Roy Clark,97.0,89,3.0
4563,1974-08-17,57,Come Monday,Jimmy Buffett,45.0,30,14.0
4564,1995-04-29,100,Come On,Barry White,87.0,87,2.0
4565,1997-08-16,98,Come On,Billy Lawrence Featuring MC Lyte,96.0,44,19.0
4566,1964-03-07,57,Come On,Tommy Roe,36.0,36,8.0
4567,1959-10-26,83,Come On And Get Me,Fabian,55.0,29,8.0
4568,1970-10-24,65,Come On And Say It,The Grass Roots,61.0,61,6.0
4569,1966-06-25,83,Come On And See Me,Tammi Terrell,80.0,80,5.0
4570,1962-08-04,98,Come On Baby,Bruce Channel,100.0,98,2.0
4571,1965-01-30,50,Come On Do The Jerk,The Miracles,57.0,50,8.0
4572,1967-08-12,31,Come On Down To My Boat,Every Mothers' Son,29.0,6,15.0
4573,1983-06-25,97,Come On Eileen,Dexys Midnight Runners,87.0,1,23.0
4574,2009-01-24,78,Come On Get Higher,Matt Nathanson,67.0,59,20.0
4575,1966-06-18,38,Come On Let's Go,The McCoys,25.0,22,9.0
4576,1962-10-20,59,Come On Little Angel,The Belmonts,40.0,28,14.0
4577,2008-08-23,94,Come On Over,Jessica Simpson,87.0,65,7.0
4578,1976-05-29,58,Come On Over,Olivia Newton-John,36.0,23,12.0
4579,1999-12-25,81,Come On Over,Shania Twain,70.0,58,10.0
4580,1961-04-17,91,Come On Over,The Strollers,94.0,91,2.0
4581,2000-12-23,44,Come On Over Baby (All I Want Is You),Christina Aguilera,43.0,1,21.0
4582,1965-05-22,60,Come On Over To My Place,The Drifters,69.0,60,5.0
4583,1967-09-02,97,Come On Sock It To Me,Syl Johnson,98.0,97,3.0
4584,1966-11-05,51,Come On Up,The Young Rascals,43.0,43,7.0
4585,1987-12-12,86,"Come On, Let's Go",Los Lobos,61.0,21,14.0
4586,1958-12-15,95,"Come On, Let's Go",Ritchie Valens,92.0,42,13.0
4587,1968-12-21,63,"Come On, React!",The Fireballs,63.0,63,8.0
4588,2018-12-08,69,Come Out And Play,Billie Eilish,,69,1.0
4589,1989-04-22,91,Come Out Fighting,Easterhouse,82.0,82,4.0
4590,2003-10-25,47,Come Over,Aaliyah,44.0,32,20.0
4591,2012-10-13,74,Come Over,Kenny Chesney,71.0,23,20.0
4592,1998-06-13,99,Come Over To My Place,Davina,96.0,81,9.0
4593,1959-01-19,99,Come Prima,Tony Dallara,60.0,60,7.0
4594,1959-01-19,92,Come Prima (Koma Preema),Polly Bergen,80.0,67,6.0
4595,1968-01-27,98,Come Rain Or Come Shine,Ray Charles,100.0,83,4.0
4596,1970-05-23,64,Come Running,Van Morrison,50.0,39,8.0
4597,1966-06-18,55,Come Running Back,Dean Martin,35.0,35,7.0
4598,1978-02-18,69,Come Sail Away,Styx,51.0,8,22.0
4599,1970-06-27,41,Come Saturday Morning,The Sandpipers,27.0,17,20.0
4600,1965-04-17,58,Come See,Major Lance,43.0,40,7.0
4601,1968-02-03,75,Come See About Me,Jr. Walker & The All Stars,27.0,24,11.0
4602,1964-11-28,74,Come See About Me,Nella Dodds,84.0,74,3.0
4603,1965-02-13,23,Come See About Me,The Supremes,12.0,1,14.0
4604,1997-03-22,95,Come See Me,112,92.0,33,20.0
4605,2023-10-15,93,Come See Me,Rod Wave,60,19,6.0
4606,1961-11-13,79,Come September,Billy Vaughn And His Orchestra,73.0,73,6.0
4607,1966-08-27,96,Come Share The Good Times With Me,Julie Monday,98.0,96,2.0
4608,1959-04-27,67,Come Softly To Me,Ronnie Height,50.0,45,6.0
4609,1959-06-22,96,Come Softly To Me,The Fleetwoods,66.0,1,16.0
4610,1973-02-10,96,Come Softly To Me,The New Seekers,95.0,95,3.0
4611,2020-03-28,83,Come This Way,Lil Uzi Vert,,83,1.0
4612,2021-11-06,99,Come Through,H.E.R. Featuring Chris Brown,,64,16.0
4613,2013-10-12,87,Come Thru,Drake,,87,1.0
4614,2020-05-16,97,Come Thru,Summer Walker & Usher,77.0,42,19.0
4615,2021-09-11,77,Come To Life,Kanye West,,77,1.0
4616,1981-06-13,94,Come To Me,Aretha Franklin,84.0,84,3.0
4617,2007-01-27,80,Come To Me,Diddy Featuring Nicole Scherzinger,72.0,9,20.0
4618,1979-12-15,99,Come To Me,France Joli,87.0,15,16.0
4619,1959-06-22,80,Come To Me,Marv Johnson,56.0,30,15.0
4620,1964-05-02,69,Come To Me,Otis Redding,79.0,69,7.0
4621,1970-07-04,62,Come To Me,Tommy James And The Shondells,47.0,47,8.0
4622,1968-04-06,76,Come To Me Softly,Jimmy James & The Vagabonds,76.0,76,3.0
4623,1994-12-24,42,Come To My Window,Melissa Etheridge,42.0,25,44.0
4624,1967-07-01,37,Come To The Sunshine,Harpers Bizarre,37.0,37,7.0
4625,1978-10-21,95,Come Together,Aerosmith,35.0,23,12.0
4626,1970-04-25,69,Come Together,Ike & Tina Turner & The Ikettes,58.0,57,8.0
4627,1970-01-31,29,Come Together/Something,The Beatles,22.0,1,16.0
4628,1965-03-27,53,Come Tomorrow,Manfred Mann,50.0,50,6.0
4629,1993-10-02,49,Come Undone,Duran Duran,49.0,7,25.0
4630,2012-12-22,93,Come Wake Me Up,Rascal Flatts,62.0,52,20.0
4631,1958-08-18,53,Come What May,Clyde McPhatter,49.0,43,3.0
4632,1997-08-23,87,Come With Me,Keith Sweat (Featuring Ronald Isley),84.0,68,11.0
4633,1998-11-07,74,Come With Me,Puff Daddy Featuring Jimmy Page,67.0,4,20.0
4634,1996-01-27,66,Come With Me,Shai,64.0,43,20.0
4635,2014-09-06,44,Come With Me Now,KONGOS,36.0,31,21.0
4636,1996-01-13,58,Comedown,Bush,60.0,30,20.0
4637,2015-11-28,82,Comfortable,K Camp,77.0,54,15.0
4638,1993-07-03,50,Comforter,Shai,40.0,10,24.0
4639,2017-04-01,96,Comin Out Strong,Future Featuring The Weeknd,81.0,48,3.0
4640,1989-08-05,89,Comin' Down Tonight,Thirty Eight Special,83.0,67,7.0
4641,1960-06-27,69,Comin' Down With Love,Mel Gadson,75.0,69,5.0
4642,1970-03-07,84,Comin' Home,Delaney & Bonnie & Friends/Eric Clapton,85.0,84,3.0
4643,1963-01-12,60,Comin' Home Baby,Mel Torme,45.0,36,11.0
4644,1982-02-27,95,Comin' In And Out Of Your Life,Barbra Streisand,87.0,11,16.0
4645,1964-02-15,63,Comin' In The Back Door,The Baja Marimba Band,41.0,41,9.0
4646,1964-02-29,67,Comin' On,Bill Black's Combo,68.0,67,5.0
4647,1994-07-02,93,Comin' On Strong,Sudden Change,77.0,56,17.0
4648,1965-02-27,67,Comin' On Too Strong,Wayne Newton,65.0,65,5.0
4649,2006-01-14,89,Comin' To Your City,Big & Rich,,72,6.0
4650,1987-02-21,100,Coming Around Again,Carly Simon,75.0,18,17.0
4651,1964-01-11,99,Coming Back To You,Maxine Brown,99.0,99,2.0
4652,1980-06-21,69,Coming Down From Love,Bobby Caldwell,42.0,42,10.0
4653,1989-07-29,94,Coming Home,Cinderella,76.0,20,17.0
4654,2011-05-21,43,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,31.0,11,24.0
4655,2018-08-18,96,Coming Home,Keith Urban Featuring Julia Michaels,51.0,50,7.0
4656,1967-02-04,37,Coming Home Soldier,Bobby Vinton,18.0,11,12.0
4657,1990-07-07,96,Coming Of Age,Damn Yankees,86.0,60,12.0
4658,1966-12-24,44,Coming On Strong,Brenda Lee,33.0,11,13.0
4659,1991-06-01,96,Coming Out Of The Dark,Gloria Estefan,80.0,1,19.0
4660,1988-08-06,99,Coming To America,The System,93.0,91,5.0
4661,2006-08-12,96,Coming Undone,Korn,96.0,79,6.0
4662,1980-09-13,93,Coming Up (Live At Glasgow),Paul McCartney And Wings,82.0,1,21.0
4663,1987-03-14,90,Coming Up Close,'Til Tuesday,63.0,59,10.0
4664,1988-02-20,85,Coming Up You,The Cars,74.0,74,5.0
4665,2015-08-29,95,Commas,Future,86.0,55,20.0
4666,2020-03-21,68,Commercial,Lil Baby Featuring Lil Uzi Vert,23.0,23,2.0
4667,1993-12-04,96,Commitment Of The Heart,Clive Griffin,96.0,96,3.0
4668,1969-09-20,39,Commotion,Creedence Clearwater Revival,30.0,30,8.0
4669,1984-05-12,97,Communication,Spandau Ballet,87.0,59,7.0
4670,1985-11-09,99,Communication,The Power Station,69.0,34,10.0
4671,1967-01-21,65,Communication Breakdown,Roy Orbison,60.0,60,7.0
4672,2016-05-14,91,Company,Justin Bieber,58.0,53,12.0
4673,1970-01-31,85,Compared To What,Les McCann & Eddie Harris,88.0,85,4.0
4674,2014-04-05,80,Compass,Lady Antebellum,68.0,46,20.0
4675,1968-08-17,75,Competition Ain't Nothin',Little Carl Carlton,75.0,75,8.0
4676,2022-04-24,85,Complete Mess,5 Seconds Of Summer,85,85,3.0
4677,1994-06-25,98,Completely,Michael Bolton,93.0,32,15.0
4678,2002-12-28,41,Complicated,Avril Lavigne,36.0,2,31.0
4679,2020-02-01,63,Complicated,Mac Miller,,63,1.0
4680,1980-03-29,64,"Computer Game ""Theme From The Circus""",Yellow Magic Orchestra,60.0,60,9.0
4681,2019-08-03,48,Con Calma,Daddy Yankee & Katy Perry Featuring Snow,46.0,22,25.0
4682,1984-12-15,97,Concealed Weapons,The J. Geils Band,75.0,63,7.0
4683,2022-12-25,95,Conceited,SZA,58,58,2.0
4684,2006-04-29,95,Conceited (There's Something About Remy),Remy Ma,95.0,90,5.0
4685,1965-06-26,56,Concrete And Clay,Eddie Rambeau,46.0,35,9.0
4686,1965-06-26,43,Concrete And Clay,Unit Four plus Two,37.0,28,9.0
4687,2003-07-19,99,Concrete Angel,Martina McBride,99.0,47,19.0
4688,1969-03-01,60,Condition Red,The Goodees,56.0,46,11.0
4689,2020-12-26,63,Coney Island,Taylor Swift Featuring The National,,63,1.0
4690,1963-01-19,67,Coney Island Baby,The Excellents,55.0,51,9.0
4691,2016-05-28,97,Confession,Florida Georgia Line,96.0,53,20.0
4692,2006-01-14,62,Confessions Of A Broken Heart (Daughter To Father),Lindsay Lohan,,57,7.0
4693,2019-04-06,78,Confessions Of A Dangerous Mind,Logic,,78,1.0
4694,2004-10-16,48,Confessions Part II,Usher,44.0,1,25.0
4695,2016-03-05,75,Confident,Demi Lovato,70.0,21,20.0
4696,2014-02-22,84,Confident,Justin Bieber Featuring Chance The Rapper,69.0,41,3.0
4697,1979-12-08,78,Confusion,Electric Light Orchestra,57.0,37,8.0
4698,1986-04-19,98,Conga,Miami Sound Machine,99.0,10,27.0
4699,1968-06-22,99,Congratulations,Cliff Richard,100.0,99,3.0
4700,2017-12-23,49,Congratulations,Post Malone Featuring Quavo,45.0,8,50.0
4701,1964-04-11,68,Congratulations,Rick Nelson,63.0,63,5.0
4702,1989-10-28,94,Congratulations,Vesta,66.0,55,8.0
4703,1993-08-07,80,Connected,Stereo MC's,71.0,20,20.0
4704,1995-08-12,99,Connection,Elastica,91.0,53,20.0
4705,2015-03-28,86,Conqueror,Empire Cast Featuring Estelle & Jussie Smollett,42.0,42,2.0
4706,1972-08-19,46,Conquistador,Procol Harum,34.0,16,13.0
4707,1962-06-16,33,Conscience,James Darren,11.0,11,10.0
4708,2017-04-22,93,Conscience,Kodak Black Featuring Future,,93,1.0
4709,2019-02-02,72,Consequences,Camila Cabello,60.0,51,12.0
4710,2010-02-20,94,Consider Me Gone,Reba,84.0,38,19.0
4711,2011-12-17,89,Constant Craving,Glee Cast,,89,1.0
4712,1992-12-19,91,Constant Craving,k.d. lang,,38,19.0
4713,1967-01-28,71,Constant Rain (Chove Chuva),Sergio Mendes & Brasil '66,77.0,71,6.0
4714,1995-04-08,62,Constantly,Immature,55.0,16,20.0
4715,1979-03-24,96,Contact,Edwin Starr,65.0,65,7.0
4716,2001-11-17,100,Contagious,The Isley Brothers Featuring Ronald Isley,91.0,19,19.0
4717,2018-03-24,60,Contra,Logic,,60,1.0
4718,1987-02-28,62,Control,Janet Jackson,49.0,5,18.0
4719,2002-02-23,100,Control,Puddle Of Mudd,92.0,68,20.0
4720,2006-06-17,99,Control Myself,LL Cool J Featuring Jennifer Lopez,81.0,4,11.0
4721,1973-03-10,55,Control Of Me,Les Emmerson,51.0,51,9.0
4722,2016-11-12,49,Controlla,Drake,45.0,16,26.0
4723,1982-01-02,97,Controversy,Prince,97.0,70,11.0
4724,1972-12-09,28,Convention '72,The Delegates,21.0,8,8.0
4725,2020-08-29,91,Conversations,Juice WRLD,83.0,7,6.0
4726,2020-01-25,86,Conversations In The Dark,John Legend,,86,1.0
4727,1992-01-18,91,Conviction Of The Heart,Kenny Loggins,86.0,65,13.0
4728,1976-03-20,93,Convoy,C.W. McCall,72.0,1,16.0
4729,1968-12-07,84,Coo Coo,Big Brother And The Holding Company,84.0,84,3.0
4730,2004-06-26,97,Coo-Coo Chee,Ric-A-Che Featuring Darija,,97,1.0
4731,1959-12-14,98,CooCoo-U,The Kingston Trio,,98,1.0
4732,1973-04-21,66,Cook With Honey,Judy Collins,35.0,32,11.0
4733,2008-10-11,98,Cookie Jar,Gym Class Heroes Featuring The-Dream,74.0,59,5.0
4734,1962-04-14,95,Cookin',Al Casey Combo,92.0,92,2.0
4735,2005-11-26,64,Cool,Gwen Stefani,57.0,13,20.0
4736,2019-08-10,97,Cool,Jonas Brothers,84.0,27,17.0
4737,1982-03-13,98,Cool (Part 1),The Time,93.0,90,7.0
4738,2020-10-24,65,Cool Again,Kane Brown,70.0,29,20.0
4739,1971-06-26,40,Cool Aid,Paul Humphrey & His Cool Aid Chemists,39.0,29,16.0
4740,1991-11-02,93,Cool As Ice (Everybody Get Loose),Vanilla Ice,81.0,81,4.0
4741,1980-02-16,90,Cool Change,Little River Band,57.0,10,18.0
4742,2015-11-28,81,Cool For The Summer,Demi Lovato,72.0,11,20.0
4743,2016-11-19,100,Cool Girl,Tove Lo,,84,5.0
4744,1985-03-09,100,Cool It Now,New Edition,87.0,4,25.0
4745,1966-07-30,38,Cool Jerk,The Capitols,36.0,7,14.0
4746,2014-12-27,46,Cool Kids,Echosmith,39.0,13,23.0
4747,1981-10-24,94,Cool Love,Pablo Cruise,85.0,13,17.0
4748,1982-12-04,97,Cool Magic,The Steve Miller Band,93.0,57,8.0
4749,1982-03-13,99,Cool Night,Paul Davis,74.0,11,19.0
4750,1983-07-02,92,Cool Places,Sparks & Jane Wiedlin,65.0,49,12.0
4751,1960-08-08,85,Cool Water,Jack Scott,87.0,85,3.0
4752,2020-06-20,89,Cooler Than A Bitch,Gunna Featuring Roddy Ricch,81.0,41,3.0
4753,2010-11-27,48,Cooler Than Me,Mike Posner,38.0,6,29.0
4754,2022-08-28,83,Cooped Up,Post Malone Featuring Roddy Ricch,89,12,15.0
4755,2014-06-14,86,Cop Car,Keith Urban,72.0,41,18.0
4756,2018-06-30,96,Cop Shot The Kid,Nas Featuring Kanye West,,96,1.0
4757,2003-08-30,95,Cop That Sh#!,Timbaland & Magoo Featuring Missy Elliott,95.0,95,2.0
4758,1978-09-23,99,Copacabana (at The Copa),Barry Manilow,67.0,8,16.0
4759,1962-09-15,92,Copy Cat,Gary U.S. Bonds,94.0,92,3.0
4760,1958-11-17,92,Coquette,Fats Domino,,92,1.0
4761,2018-03-17,97,Corazon,Maluma X Nego do Borel,93.0,87,9.0
4762,1973-12-29,51,Corazón,Carole King,47.0,37,10.0
4763,1961-02-27,66,"Corinna, Corinna",Ray Peterson,42.0,9,15.0
4764,2019-09-07,57,Cornelia Street,Taylor Swift,,57,1.0
4765,1973-01-13,57,Corner Of The Sky,Jackson 5,39.0,18,12.0
4766,2008-09-27,91,Corona And Lime,Shwayze,82.0,23,8.0
4767,2021-07-10,55,Corso,"Tyler, The Creator",,55,1.0
4768,1973-05-26,84,Cosmic Sea,The Mystic Moods,83.0,83,6.0
4769,2011-11-26,86,Cost Of Livin',Ronnie Dunn,88.0,86,8.0
4770,2019-07-20,75,Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",,75,1.0
4771,1975-02-01,100,Costafine Town,Splinter,77.0,77,8.0
4772,1970-08-15,65,Cottage Cheese,CROW,62.0,56,14.0
4773,1964-06-27,43,Cotton Candy,Al Hirt,38.0,15,12.0
4774,1976-08-07,89,Cotton Candy,The Sylvers,59.0,59,7.0
4775,1995-07-22,92,Cotton Eye Joe,Rednex,88.0,25,20.0
4776,1962-03-31,55,Cotton Fields,The Highwaymen,36.0,13,18.0
4777,1972-04-29,76,Cotton Jenny,Anne Murray,71.0,71,5.0
4778,1963-08-03,67,Cottonfields,Ace Cannon,67.0,67,7.0
4779,2012-03-10,65,Cough Syrup,Glee Cast,,65,1.0
4780,2012-03-24,100,Cough Syrup,Young The Giant,96.0,95,3.0
4781,1977-10-08,76,Could Heaven Ever Be Like This (Part 1),Idris Muhammad,80.0,76,2.0
4782,1981-01-17,88,Could I Be Dreaming,The Pointer Sisters,81.0,52,11.0
4783,1971-05-01,64,Could I Forget You,Tyrone Davis,60.0,60,7.0
4784,1980-12-06,94,Could I Have This Dance,Anne Murray,84.0,33,14.0
4785,2000-10-28,97,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,,52,19.0
4786,2013-10-05,94,Could It Be,Charlie Worsham,97.0,94,2.0
4787,2001-04-28,76,Could It Be,Jaheim,65.0,26,20.0
4788,1972-04-15,58,Could It Be Forever,David Cassidy,43.0,37,9.0
4789,1973-04-07,27,Could It Be I'm Falling In Love,The Spinners,24.0,4,15.0
4790,1982-02-06,93,Could It Be Love,Jennifer Warnes,47.0,47,10.0
4791,1975-10-25,70,Could It Be Magic,Barry Manilow,47.0,6,18.0
4792,1976-05-29,52,Could It Be Magic,Donna Summer,52.0,52,5.0
4793,1990-10-06,99,Could This Be Love,Seduction,84.0,11,18.0
4794,1974-01-05,100,Could You Ever Love Me Again,Gary & Dave,93.0,92,4.0
4795,2018-08-18,76,Could've Been,H.E.R. Featuring Bryson Tiller,,76,1.0
4796,1988-04-09,100,Could've Been,Tiffany,69.0,1,20.0
4797,1993-01-02,89,Could've Been Me,Billy Ray Cyrus,89.0,72,9.0
4798,1977-07-16,69,Couldn't Get It Right,Climax Blues Band,69.0,3,22.0
4799,1972-08-05,93,Couldn't I Just Tell You,Todd Rundgren,96.0,93,2.0
4800,2000-07-29,89,Couldn't Last A Moment,Collin Raye,73.0,43,20.0
